epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,617.961,1.73497,1.61434,1.66728,0.72714,0.47027,0.58378,0.27759,1.92429,1.90085,2.10717,0.0011684,0.0011684,0.0011684
44,632.243,1.73354,1.51731,1.65642,0.66926,0.51261,0.59956,0.27893,1.92181,1.76069,2.09116,0.0011486,0.0011486,0.0011486
45,646.608,1.80474,1.49714,1.74054,0.61221,0.52101,0.56124,0.26042,1.9769,1.85838,2.11548,0.0011288,0.0011288,0.0011288
46,660.814,1.84063,1.60176,1.7335,0.65573,0.51261,0.60441,0.26815,1.90349,1.75854,2.0125,0.001109,0.001109,0.001109
47,675.049,1.69892,1.45937,1.68877,0.68436,0.60504,0.61832,0.27404,1.89506,1.79259,2.05756,0.0010892,0.0010892,0.0010892
48,689.353,1.82887,1.54147,1.69759,0.63113,0.56075,0.60762,0.27809,1.87366,1.78931,2.07586,0.0010694,0.0010694,0.0010694
49,703.685,1.76775,1.54579,1.68335,0.77573,0.47059,0.61147,0.29464,1.80105,1.80971,2.00306,0.0010496,0.0010496,0.0010496
50,717.757,1.66777,1.46923,1.67284,0.62005,0.55462,0.59736,0.2869,1.90368,1.71474,2.0559,0.0010298,0.0010298,0.0010298
51,731.999,1.6799,1.41576,1.59992,0.56115,0.61345,0.60322,0.26948,1.93143,1.80384,2.10496,0.00101,0.00101,0.00101
52,746.185,1.69044,1.49183,1.653,0.64299,0.45405,0.55517,0.2705,1.89006,1.79447,2.06683,0.0009902,0.0009902,0.0009902
53,760.408,1.70093,1.38108,1.63565,0.66875,0.48739,0.57206,0.28187,1.78485,1.80247,1.99323,0.0009704,0.0009704,0.0009704
54,774.561,1.71764,1.44876,1.75641,0.59793,0.64985,0.61153,0.30079,1.7671,1.70752,1.96155,0.0009506,0.0009506,0.0009506
55,788.488,1.71789,1.39856,1.69915,0.63225,0.57983,0.6089,0.29678,1.82394,1.6753,2.00805,0.0009308,0.0009308,0.0009308
56,803.351,1.68291,1.35552,1.66686,0.59997,0.61758,0.63631,0.29013,1.93303,1.77464,2.1061,0.000911,0.000911,0.000911
57,817.868,1.70837,1.40773,1.75922,0.67141,0.63025,0.64533,0.2856,1.93365,1.64073,2.09481,0.0008912,0.0008912,0.0008912
58,832.268,1.58504,1.3117,1.55158,0.55727,0.58824,0.61186,0.29113,1.85987,1.76222,2.02777,0.0008714,0.0008714,0.0008714
59,846.439,1.65309,1.36203,1.66527,0.64826,0.63499,0.63453,0.2937,1.89886,1.66791,2.06018,0.0008516,0.0008516,0.0008516
60,860.669,1.53964,1.34956,1.60236,0.58789,0.61138,0.62043,0.28172,1.90673,1.73945,2.12426,0.0008318,0.0008318,0.0008318
61,874.818,1.59288,1.26141,1.66109,0.703,0.63025,0.64771,0.29708,1.95145,1.6825,2.16947,0.000812,0.000812,0.000812
62,889.1,1.63392,1.31359,1.66957,0.63977,0.58206,0.64412,0.30839,1.81781,1.6305,2.06864,0.0007922,0.0007922,0.0007922
63,903.292,1.59984,1.30828,1.62394,0.64313,0.63025,0.6699,0.30755,1.90846,1.64784,2.101,0.0007724,0.0007724,0.0007724
64,917.213,1.52334,1.12265,1.51936,0.68012,0.60749,0.64916,0.30306,1.84861,1.6925,2.03046,0.0007526,0.0007526,0.0007526
65,931.44,1.57353,1.26966,1.63032,0.73863,0.57983,0.64514,0.32354,1.84332,1.67282,2.01535,0.0007328,0.0007328,0.0007328
66,945.651,1.62064,1.34178,1.70233,0.77225,0.61345,0.68498,0.31019,1.87962,1.5389,2.05954,0.000713,0.000713,0.000713
67,959.681,1.62314,1.22009,1.55877,0.82277,0.58519,0.68341,0.32616,1.85009,1.65107,2.00061,0.0006932,0.0006932,0.0006932
68,973.836,1.62263,1.22829,1.58501,0.67224,0.62185,0.63536,0.28873,1.95791,1.71966,2.11454,0.0006734,0.0006734,0.0006734
69,987.983,1.66094,1.25066,1.60482,0.74902,0.65206,0.68587,0.31426,1.87265,1.59999,2.01723,0.0006536,0.0006536,0.0006536
70,1002.13,1.51376,1.19807,1.59156,0.78458,0.59664,0.68408,0.33666,1.82138,1.53068,2.0044,0.0006338,0.0006338,0.0006338
71,1016.27,1.5849,1.22839,1.56463,0.7868,0.63025,0.69796,0.3381,1.84661,1.62119,2.03041,0.000614,0.000614,0.000614
72,1030.41,1.52373,1.16963,1.58249,0.72446,0.66284,0.70594,0.33039,1.90282,1.57419,2.06281,0.0005942,0.0005942,0.0005942
73,1044.52,1.52684,1.21091,1.53949,0.69993,0.62185,0.67729,0.33179,1.80637,1.55491,2.01801,0.0005744,0.0005744,0.0005744
74,1058.66,1.5019,1.16783,1.51913,0.76602,0.66028,0.69852,0.35085,1.81778,1.52102,2.00941,0.0005546,0.0005546,0.0005546
75,1072.8,1.4818,1.12716,1.53208,0.73995,0.64706,0.70747,0.35256,1.82963,1.51297,2.06815,0.0005348,0.0005348,0.0005348
76,1086.9,1.51939,1.22478,1.57369,0.72121,0.67391,0.71598,0.33605,1.89781,1.57289,2.06328,0.000515,0.000515,0.000515
77,1100.9,1.40239,1.09998,1.45854,0.84213,0.58824,0.71171,0.33746,1.85292,1.51934,2.05758,0.0004952,0.0004952,0.0004952
78,1114.98,1.45737,1.21601,1.51365,0.78507,0.61391,0.72168,0.34927,1.79172,1.49877,1.98049,0.0004754,0.0004754,0.0004754
79,1129.21,1.50675,1.14102,1.58134,0.73716,0.64706,0.70932,0.35174,1.74273,1.54172,1.94632,0.0004556,0.0004556,0.0004556
80,1143.39,1.48153,1.04305,1.48014,0.75121,0.60899,0.70345,0.34818,1.7944,1.4971,1.97075,0.0004358,0.0004358,0.0004358
81,1157.73,1.393,1.03628,1.45698,0.79789,0.59714,0.69834,0.32137,1.83308,1.61305,2.03198,0.000416,0.000416,0.000416
82,1172.17,1.46239,1.14413,1.46684,0.84656,0.60273,0.70537,0.32335,1.84297,1.55931,2.07319,0.0003962,0.0003962,0.0003962
83,1186.53,1.49688,1.14601,1.52731,0.72717,0.65546,0.70887,0.34265,1.77011,1.53737,1.99556,0.0003764,0.0003764,0.0003764
84,1200.61,1.36796,1.09521,1.47406,0.7671,0.63025,0.70287,0.35438,1.77851,1.52501,1.97812,0.0003566,0.0003566,0.0003566
85,1214.77,1.42642,1.10906,1.41694,0.71804,0.63025,0.68311,0.33573,1.79724,1.55791,2.0221,0.0003368,0.0003368,0.0003368
86,1228.91,1.42164,1.0497,1.52805,0.82855,0.6092,0.70525,0.34407,1.7945,1.55769,2.03104,0.000317,0.000317,0.000317
87,1243.22,1.48819,1.07291,1.49245,0.76807,0.63025,0.70919,0.34422,1.81312,1.54447,2.0224,0.0002972,0.0002972,0.0002972
88,1257.43,1.37798,1.0104,1.48643,0.76579,0.61345,0.70622,0.36636,1.75633,1.53965,2.00784,0.0002774,0.0002774,0.0002774
89,1271.64,1.40289,0.98812,1.50555,0.80857,0.63892,0.7452,0.35915,1.77199,1.55062,1.97247,0.0002576,0.0002576,0.0002576
90,1285.72,1.36265,1.04497,1.40564,0.8298,0.61345,0.71025,0.35383,1.83728,1.49631,2.05701,0.0002378,0.0002378,0.0002378
91,1323.98,1.27946,0.94198,1.31033,0.78929,0.62956,0.71898,0.3625,1.80286,1.55003,2.03685,0.000218,0.000218,0.000218
92,1337.55,1.16135,0.85177,1.25769,0.75393,0.64371,0.71515,0.35452,1.83208,1.48198,2.06617,0.0001982,0.0001982,0.0001982
93,1351.05,1.13626,0.84882,1.22139,0.80077,0.64176,0.74395,0.35143,1.87543,1.51291,2.12489,0.0001784,0.0001784,0.0001784
94,1364.68,1.14988,0.78733,1.25141,0.77075,0.64984,0.72432,0.36149,1.82136,1.49501,2.07146,0.0001586,0.0001586,0.0001586
95,1378.15,1.09225,0.76575,1.20208,0.81702,0.61345,0.71537,0.34939,1.82043,1.48128,2.08105,0.0001388,0.0001388,0.0001388
96,1391.76,1.1442,0.79068,1.30107,0.85478,0.59357,0.73411,0.36035,1.79213,1.45626,2.01193,0.000119,0.000119,0.000119
97,1405.46,1.19035,0.81581,1.28217,0.7659,0.66387,0.72528,0.35852,1.83169,1.45443,2.07022,9.92e-05,9.92e-05,9.92e-05
98,1419.09,1.11309,0.78659,1.26615,0.79061,0.62185,0.7216,0.3589,1.81989,1.47942,2.0486,7.94e-05,7.94e-05,7.94e-05
99,1432.73,1.09977,0.77366,1.27215,0.81142,0.63866,0.73267,0.36102,1.83605,1.49674,2.07935,5.96e-05,5.96e-05,5.96e-05
100,1446.42,1.14472,0.88083,1.26332,0.78892,0.64706,0.73007,0.36795,1.82618,1.54683,2.07511,3.98e-05,3.98e-05,3.98e-05
